ref,name_zh,name_en,mc_x,mc_z,layer,lat,lon
K07,陽光運動公園,Sunshine Sports Park,237,8189,,24.9723085,121.5195115
K08,新和國小,Xinhe Elementary School,139,6956,,24.9834417,121.518589
K09,十四張,Shisizhang,1019,6850,,24.9843634,121.5273077
LB01,頂埔,Dingpu,-9868,9634,,24.9595744,121.4193821
LB02,媽祖田,Mazutian,-10600,10317,,24.9534326,121.412114
LB03,長壽山,Changshoushan,-11560,11342,,24.9441968,121.4025763
LB04,橫溪,Hengxi,-12702,12091,,24.9374685,121.3912466
LB05,龍埔,Longpu,-13367,11827,,24.9398681,121.3846739
LB06,三峽,Sanxia,-14197,11934,,24.9389234,121.3764491
LB07,臺北大學,National Taipei University,-15135,11929,,24.9389895,121.3671583
LB08,鶯歌車站,Yingge Station,-16219,10358,,24.9531975,121.3564686
LB09,陶瓷老街,Ceramics Old Street,-16924,10429,,24.9525784,121.3494861
LB10,國華,Guohua,-17635,10200,,24.9546642,121.3424459
LB11,永吉公園,Yongji Park,-18439,9526,,24.9607647,121.3345021
LB12,鶯桃福德,Yingtao Fude,-18909,8862,,24.966771,121.329867
O01,南勢角,Nanshijiao,-847,6230,,24.9900264,121.5088518
O02,景安,Jingan,-1232,5815,,24.9937859,121.5050464
O03,永安市場,Yongan Market,-645,4858,,25.0024105,121.5109003
O04,頂溪,Dingxi,-188,3616,,25.0136014,121.515472
O05;G09,古亭,Guting,538,2161,,25.0267154,121.5227215
O06;R07,東門,Dongmen,1194,1369,,25.0338425,121.5292584
O08;G15,松江南京,Songjiang Nanjing,1568,-645,,25.0520141,121.5330358
O09,行天宮,Xingtian Temple,1577,-1465,,25.0594133,121.5331615
O10,中山國小,Zhongshan Elementary School,914,-1824,,25.062674,121.5265984
O12,大橋頭,Daqiaotou,-489,-1876,,25.063198,121.5126944
O13,台北橋,Taipei Bridge,-1715,-1869,,25.0631779,121.5005513
O14,菜寮,Cailiao,-2566,-1544,,25.0602676,121.4921055
O15,三重,Sanchong,-3243,-1066,,25.0559777,121.4853768
O16,先嗇宮,Xianse Temple,-4621,-4,,25.0464284,121.4716805
O17,頭前庄,Touqianzhuang,-5657,767,,25.0395009,121.4613873
O18,新莊,Xinzhuang,-6466,1121,,25.0363332,121.4533591
O19,輔大,Fu Jen University,-8290,1527,,25.032722,121.4352746
O20,丹鳳,Danfeng,-9562,1951,,25.0289264,121.4226568
O21,迴龍,Huilong,-10645,2713,,25.0220786,121.4119025
O50,三重國小,Sanchong Elementary School,-2045,-2624,,25.0700034,121.4973001
O51,三和國中,Sanhe Junior High School,-3150,-3375,,25.076814,121.4863784
O52,徐匯中學,St. Ignatius High School,-3772,-3762,,25.0803359,121.4802265
O53,三民高中,Sanmin Senior High School,-4473,-4333,,25.0855048,121.4732993
O54,蘆洲,Luzhou,-5302,-4969,,25.091278,121.465104
R01,廣慈/奉天宮,Guangci/Fengtian Temple Station (Under construction),6547,945,,25.0374683,121.5823111
R02,象山,Xiangshan,5282,1460,,25.0328676,121.5697576
R03,台北101/世貿,Taipei 101/World Trade Center,4544,1451,,25.0329794,121.5624453
R04,信義安和,Xinyi Anhe,3564,1438,,25.0331302,121.5527328
R06,大安森林公園,Daan Park,1802,1398,,25.0335619,121.5352793
R08;G10,中正紀念堂,Chiang Kai-Shek Memorial Hall,12,1390,,25.0336955,121.5175455
R09,台大醫院,NTU Hospital,-129,510,,25.0416464,121.5161808
R10;BL12,台北車站,Taipei main station,0,0,,25.0462432,121.5174745
R11;G14,中山,Zhongshan,292,-708,,25.0526256,121.5203914
R12,雙連,Shuanglian,320,-1263,,25.057632,121.5206986
R13;O11,民權西路,Minquan W. Rd.,188,-1840,,25.0628506,121.519403
R14,圓山,Yuanshan,258,-2789,,25.0714175,121.5201361
R15,劍潭,Jiantan,741,-4217,,25.0842913,121.5249806
R16,士林,Shilin,865,-5237,,25.0934949,121.5262468
R17,芝山,Zhishan,485,-6289,,25.1030034,121.5225195
R18,明德,Mingde,104,-7047,,25.1098593,121.5187693
R19,石牌,Shipai,-226,-7572,,25.1146071,121.5155232
R20,唭哩岸,Qilian,-1176,-8266,,25.1209048,121.5061304
R21,奇岩,Qiyan,-1681,-8784,,25.1256031,121.5011369
R22,北投,Beitou,-1940,-9484,,25.1319307,121.4985934
R22A,新北投,Xinbeitou,-1481,-10043,,25.1369644,121.5031693
R23,復興崗,Fuxinggang,-3263,-10095,,25.1374895,121.4854979
R24,忠義,Zhongyi,-4483,-9366,,25.1309506,121.473374
R25,關渡,Guandu,-5109,-8783,,25.1257006,121.4671419
R26,竹圍,Zhuwei,-5883,-10029,,25.1369727,121.4595099
R27,紅樹林,Hongshulin,-5958,-11960,,25.1544087,121.4588321
R28,淡水,Tamsui,-7299,-13437,,25.1677828,121.4455744
Skytrain,第二航廈,Terminal 2,-28647,-3267,,25.0764579,121.233632
Skytrain,第二航廈,Terminal 2,-28858,-3515,,25.0786997,121.2315385
V01,紅樹林,Hongshulin,-5950,-12074,,25.15544,121.4589125
V02,竿蓁林,Ganzhenlin,-6224,-12820,,25.1621824,121.456225
V03,淡金鄧公,Danjin Denggong,-5763,-13610,,25.1693035,121.4608263
V04,淡江大學,Tamkang University,-6254,-14469,,25.1770757,121.4559765
V05,淡金北新,Danjin Beixin,-6640,-14927,,25.1812144,121.452165
V06,新市一路,Xinshi 1st Rd.,-7048,-15222,,25.1838978,121.4481232
V07,淡水行政中心,Tamsui District Office,-7415,-15781,,25.1889533,121.4445041
V08,濱海義山,Binhai Yishan,-8134,-15864,,25.1897184,121.4373723
V09,濱海沙崙,Binhai Shalun,-8713,-15944,,25.1904655,121.4316345
V10,淡海新市鎮,Danhai New Town,-8630,-16520,,25.1956548,121.4324753
V11,崁頂,Kanding,-8415,-17107,,25.2009501,121.434621
V26,淡水漁人碼頭,Tamsui Fisherman's Wharf,-10022,-15003,,25.1820049,121.4186124
V27,沙崙,Shalun Station,-10167,-15606,,25.18745,121.41719
V28,臺北海洋大學,Taipei University of Marine Technology,-9252,-16020,,25.1911611,121.426285
