25.0602676|121.4921055|Cailiao|O14
25.0912780|121.4651040|Luzhou|O54
25.0327220|121.4352746|Fu Jen University|O19
25.0220786|121.4119025|Huilong|O21
25.0136014|121.5154720|Dingxi|O04
25.0395009|121.4613873|Touqianzhuang|O17
25.0808055|121.2847775|Shanbi|A10
25.0657846|121.3614372|Linkou|A9
25.0374683|121.5823111|Guangci/Fengtian Temple Station (Under construction)|R01
24.9933996|121.5057104|Jingan|Y11
24.9585814|121.2193715|Laojie River|A22
25.0532646|121.4395522|Taishan|A5
25.0558139|121.2106496|Dayuan|A15
25.0487037|121.5143449|Taipei main station|A1
25.0546641|121.4828130|Sanchong|A2
25.0592100|121.4457893|Xinzhuang Fuduxin|A4
25.0333454|121.4229634|Taishan Guihe|A6
24.9671663|121.2208004|Huanbei|A21
25.0691793|121.2206257|Airport Hotel|A14a
25.0772273|121.2322564|Airport Terminal 2|A13
25.0804980|121.2383976|Airport Terminal 1|A12
25.0864909|121.2663561|Kengkou|A11
25.0604744|121.3707965|Chang Gung Memorial Hospital|A8
25.0413317|121.3854083|National Taiwan Sport University|A7
24.9667710|121.3298670|Yingtao Fude|LB12
24.9607647|121.3345021|Yongji Park|LB11
24.9546642|121.3424459|Guohua|LB10
24.9525784|121.3494861|Ceramics Old Street|LB09
24.9531975|121.3564686|Yingge Station|LB08
24.9389895|121.3671583|National Taipei University|LB07
24.9398681|121.3846739|Longpu|LB05
24.9374685|121.3912466|Hengxi|LB04
24.9441968|121.4025763|Changshoushan|LB03
24.9534326|121.4121140|Mazutian|LB02
24.9595744|121.4193821|Dingpu|LB01
25.0046042|121.4902458|Qiaohe|Y13
25.0023167|121.4958503|Zhonghe|Y12
25.0329794|121.5624453|Taipei 101/World Trade Center|R03
24.9828172|121.5416446||Y07
24.9389234|121.3764491|Sanxia|LB06
